cluster,PC1,PC2
0.0,-39.449630310061224,-141.0875615420455
0.0,-39.4488635977441,-141.09006007684354
1.0,-39.06704219874817,-141.09761745687968
1.0,-39.04999006042252,-141.0968716338811
1.0,-39.003530706671356,-141.0992606612616
1.0,-39.08853601515718,-141.10197835668237
0.0,-39.43780116890376,-141.10738888388713
0.0,-39.431515234346755,-141.11095427335877
1.0,-39.03088984658889,-141.09685690866385
1.0,-39.012764528458,-141.12244793931222
1.0,-39.03772443675395,-141.0926627788342
1.0,-39.034037164367895,-141.09671609285792
1.0,-39.01989911817475,-141.1209908539047
0.0,-39.4328867105334,-141.10463815568352
1.0,-39.01347308920492,-141.09583792100247
1.0,-38.96740335362684,-141.09518190968706
1.0,-39.09450298379541,-141.09777835936794
1.0,-38.955006937491945,-141.09572516673515
0.0,-39.446113974202035,-141.09464627614122
1.0,-39.159333830376866,-141.09576248278313
1.0,-39.12355840414409,-141.13373494433992
1.0,-39.057276536244224,-141.0958614266013
1.0,-39.03621356153816,-141.13860184236796
1.0,-39.08460356938084,-141.09813122024923
1.0,-38.960849414819876,-141.09524457738786
1.0,-38.99970452823701,-141.0913797082018
